Num,Acct,Acct1,Type,Date,Num,Name,Memo,Split,Debit,Credit
2923,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Burnished Brass (60 watt)  w/Golden Umber Accents,Accounts Receivable,,270.00
2924,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Chestnut (3/60 watt)  Marble Glass,Accounts Receivable,,292.50
2925,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Pendant Bar Textured White 50lbs max,Accounts Receivable,,22.50
2926,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Athena Collection (100 watt max) Copper Verde Seeded Glass,Accounts Receivable,,81.00
2927,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Cand. Light 20 watts (8 pack),Accounts Receivable,,50.40
2928,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Fluorescent Lamp T-12 Medium Bipin  (30pack),Accounts Receivable,,13.50
2929,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Fluorescent Lamp T-5 Bipin,Accounts Receivable,,18.00
2930,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Halogen Lamp Volts:3.5  Tubular,Accounts Receivable,,4.95
2931,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Specialty Bulbs 100 watt (6 pack),Accounts Receivable,,19.80
2932,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Specialty Stage & Studio Bulbs  60 watt,Accounts Receivable,,46.80
2933,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Flat Glass (25 watt max) Polished Brass 4 light,Accounts Receivable,,90.00
2934,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Beveled Mirror Etched Ribbed Glass (75 watt max),Accounts Receivable,,86.40
2935,Revenue,Total Deborah Wood Equity - Other,Invoice,01/29/2018,71124,Kern Lighting Warehouse:Store #34,Burnished Brass (60 watt)  w/Golden Umber Accents,Accounts Receivable,,8400.00
2936,Revenue,Total Deborah Wood Equity - Other,Invoice,01/31/2018,71059,Godwin Lighting Depot:Store #303,Black Finish Solid Brass Clear Glass Hanging 2-60 watt max.,Accounts Receivable,,113.40
2937,Revenue,Total Deborah Wood Equity - Other,Invoice,01/31/2018,71059,Godwin Lighting Depot:Store #303,Black Finish Solid BrassWall Mount w/Clear Glass (2x60watt max),Accounts Receivable,,337.50
2938,Revenue,Total Deborah Wood Equity - Other,Invoice,01/31/2018,71059,Godwin Lighting Depot:Store #303,Tapestry (8/60 watt)  Faux Alabaster Glass,Accounts Receivable,,540.00
2939,Revenue,Total Deborah Wood Equity - Other,Invoice,01/31/2018,71059,Godwin Lighting Depot:Store #303,Athena Collection (100 watt max) Copper Verde Seeded Glass,Accounts Receivable,,405.00
2940,Revenue,Total Deborah Wood Equity - Other,Invoice,01/31/2018,71059,Godwin Lighting Depot:Store #303,Broadway Collection Polished Chrome 4 Light (60 watt max),Accounts Receivable,,126.90
2941,Revenue,Total Deborah Wood Equity - Other,Invoice,01/31/2018,71059,Godwin Lighting Depot:Store #303,Halogen Lamp Volts:3.5  Tubular,Accounts Receivable,,9.90
2942,Revenue,Total Deborah Wood Equity - Other,Invoice,01/31/2018,71059,Godwin Lighting Depot:Store #303,Specialty Bulbs 100 watt (6 pack),Accounts Receivable,,19.80
2943,Revenue,Total Deborah Wood Equity - Other,Invoice,01/31/2018,71059,Godwin Lighting Depot:Store #303,Specialty Stage & Studio Bulbs  60 watt,Accounts Receivable,,40.95
2944,Revenue,Total Deborah Wood Equity - Other,Invoice,01/31/2018,71059,Godwin Lighting Depot:Store #303,Fluorescent Lamp T-12 Medium Bipin  (30pack),Accounts Receivable,,13.50
2945,Revenue,Total Deborah Wood Equity - Other,Invoice,01/31/2018,71059,Godwin Lighting Depot:Store #303,Domes White 59x21x6 5/8 ht 120v HPF,Accounts Receivable,,81.00
2946,Revenue,Total Deborah Wood Equity - Other,Invoice,02/01/2018,71121,Kern Lighting Warehouse:Store #34,Brushed Nickel Pendant 1-100 watt Medium Base Satin Etched Glass,Accounts Receivable,,550.00
2947,Revenue,Total Deborah Wood Equity - Other,Invoice,02/01/2018,71121,Kern Lighting Warehouse:Store #34,Tapestry (2-60 watt Med) Etched Cracked Glass Finish 10,Accounts Receivable,,675.00
2948,Revenue,Total Deborah Wood Equity - Other,Invoice,02/01/2018,71121,Kern Lighting Warehouse:Store #34,18x8x10 Solid Brass 3-60watt Medium Base Satin Etched Glass,Accounts Receivable,,1320.00
2949,Revenue,Total Deborah Wood Equity - Other,Invoice,02/01/2018,71121,Kern Lighting Warehouse:Store #34,18x8x10 Solid Brass 3-60watt Medium Base Satin Etched Glass,Accounts Receivable,,1980.00
2950,Revenue,Total Deborah Wood Equity - Other,Invoice,02/01/2018,71121,Kern Lighting Warehouse:Store #34,Solid Brass 4-light 25x13x10.75 4-60 watt Medium Base Satin Etched Glass,Accounts Receivable,,1260.00
2951,Revenue,Total Deborah Wood Equity - Other,Invoice,02/01/2018,71121,Kern Lighting Warehouse:Store #34,White 4.5x7.5 1-100 watt Medium Base Satin White Glass,Accounts Receivable,,960.00
2952,Revenue,Total Deborah Wood Equity - Other,Invoice,02/10/2018,71051,Cole Home Builders:Phase 2 - Lot 5,Specialty Bulbs 100 watt (6 pack),Accounts Receivable,,132.00
2953,Revenue,Total Deborah Wood Equity - Other,Invoice,02/10/2018,71051,Cole Home Builders:Phase 2 - Lot 5,Cand. Light 20 watts (8 pack),Accounts Receivable,,112.00
2954,Revenue,Total Deborah Wood Equity - Other,Invoice,02/10/2018,71051,Cole Home Builders:Phase 2 - Lot 5,Golden Umber (100 watt)  Six Light Chandelier,Accounts Receivable,,1890.00
2955,Revenue,Total Deborah Wood Equity - Other,Invoice,02/10/2018,71051,Cole Home Builders:Phase 2 - Lot 5,Acid Verde 10x21x10 2-60 watt cand.,Accounts Receivable,,340.00
2956,Revenue,Total Deborah Wood Equity - Other,Invoice,02/10/2018,71051,Cole Home Builders:Phase 2 - Lot 5,18x8x10 Solid Brass 3-60watt Medium Base Satin Etched Glass,Accounts Receivable,,990.00
2957,Revenue,Total Deborah Wood Equity - Other,Invoice,02/10/2018,71051,Cole Home Builders:Phase 2 - Lot 5,Athena Collection (100 watt max) Copper Verde Seeded Glass,Accounts Receivable,,900.00
2958,Revenue,Total Deborah Wood Equity - Other,Invoice,02/11/2018,71112,Thompson Lighting Stores:Store #15,Acid Verde 10x21x10 2-60 watt cand.,Accounts Receivable,,348.00
2959,Revenue,Total Deborah Wood Equity - Other,Invoice,02/11/2018,71112,Thompson Lighting Stores:Store #15,Die Cast Lanterns Black 1-100 watt Medium Base Clear Cracked Glass,Accounts Receivable,,272.00
2960,Revenue,Total Deborah Wood Equity - Other,Invoice,02/11/2018,71112,Thompson Lighting Stores:Store #15,Polished Brass Pendant 1-100 watt Medium Base Clear Ribbed Glass,Accounts Receivable,,232.00
2961,Revenue,Total Deborah Wood Equity - Other,Invoice,02/11/2018,71112,Thompson Lighting Stores:Store #15,2032 Series (3-60 watt Med) Desert Stone Finish,Accounts Receivable,,88.00
2962,Revenue,Total Deborah Wood Equity - Other,Invoice,02/11/2018,71112,Thompson Lighting Stores:Store #15,Brushed Nickel 18x7.75x6 3-60 watt Medium Base Satin Opal Glass,Accounts Receivable,,100.00
2963,Revenue,Total Deborah Wood Equity - Other,Invoice,02/11/2018,71112,Thompson Lighting Stores:Store #15,Tapestry (8/60 watt)  Faux Alabaster Glass,Accounts Receivable,,300.00
2964,Revenue,Total Deborah Wood Equity - Other,Invoice,02/11/2018,71112,Thompson Lighting Stores:Store #15,Frosted Taupe (3/60 watt)  Marble Glass  ,Accounts Receivable,,310.00
2965,Revenue,Total Deborah Wood Equity - Other,Invoice,02/11/2018,71112,Thompson Lighting Stores:Store #15,Roman Bronze 1-light Lantern w/tail (100 watt max),Accounts Receivable,,340.00
2966,Revenue,Total Deborah Wood Equity - Other,Invoice,02/11/2018,71112,Thompson Lighting Stores:Store #15,Domes White 59x21x6 5/8 ht 120v HPF,Accounts Receivable,,135.00
2967,Revenue,Total Deborah Wood Equity - Other,Invoice,02/11/2018,71112,Thompson Lighting Stores:Store #15,Flat Glass (25 watt max) Polished Brass 4 light,Accounts Receivable,,125.00
2968,Revenue,Total Deborah Wood Equity - Other,Invoice,02/11/2018,71112,Thompson Lighting Stores:Store #15,Burnished Brass (60 watt)  w/Golden Umber Accents,Accounts Receivable,,300.00
2969,Revenue,Total Deborah Wood Equity - Other,Invoice,02/11/2018,71112,Thompson Lighting Stores:Store #15,Pearl Nickle 5 Light Medium Base (100 watt max),Accounts Receivable,,475.00
2970,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Die Cast Lanterns Black 1-100 watt Medium Base Clear Cracked Glass,Accounts Receivable,,367.20
2971,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Tapestry (2-60 watt Med) Etched Cracked Glass Finish 10,Accounts Receivable,,243.00
2972,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Pearl Nickle 5 Light Medium Base (100 watt max),Accounts Receivable,,342.00
2973,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Sunset Clear Glass 1-100 watt max.,Accounts Receivable,,126.00
2974,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Black Finish Solid Brass Clear Glass Hanging 2-60 watt max.,Accounts Receivable,,113.40
2975,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Burnished Brass (60 watt)  w/Golden Umber Accents,Accounts Receivable,,270.00
2976,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Chestnut (3/60 watt)  Marble Glass,Accounts Receivable,,292.50
2977,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Pendant Bar Textured White 50lbs max,Accounts Receivable,,22.50
2978,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Athena Collection (100 watt max) Copper Verde Seeded Glass,Accounts Receivable,,81.00
2979,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Cand. Light 20 watts (8 pack),Accounts Receivable,,50.40
2980,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Fluorescent Lamp T-12 Medium Bipin  (30pack),Accounts Receivable,,13.50
2981,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Fluorescent Lamp T-5 Bipin,Accounts Receivable,,18.00
2982,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Halogen Lamp Volts:3.5  Tubular,Accounts Receivable,,4.95
2983,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Specialty Bulbs 100 watt (6 pack),Accounts Receivable,,19.80
2984,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Specialty Stage & Studio Bulbs  60 watt,Accounts Receivable,,46.80
2985,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Flat Glass (25 watt max) Polished Brass 4 light,Accounts Receivable,,90.00
2986,Revenue,Total Deborah Wood Equity - Other,Invoice,02/12/2018,71088,Cole Home Builders:Phase 1 - Lot 2,Beveled Mirror Etched Ribbed Glass (75 watt max),Accounts Receivable,,86.40
2987,Revenue,Total Deborah Wood Equity - Other,Invoice,02/14/2018,71110,Baker's Professional Lighting:Store #05,River Rock (8/60 watt)  Faux Alabaster Glass,Accounts Receivable,,600.00
2988,Revenue,Total Deborah Wood Equity - Other,Invoice,02/14/2018,71110,Baker's Professional Lighting:Store #05,Chestnut (3/60 watt)  Marble Glass,Accounts Receivable,,325.00
2989,Revenue,Total Deborah Wood Equity - Other,Invoice,02/14/2018,71110,Baker's Professional Lighting:Store #05,Roman Bronze 1-light Lantern w/tail (100 watt max),Accounts Receivable,,850.00
2990,Revenue,Total Deborah Wood Equity - Other,Invoice,02/14/2018,71110,Baker's Professional Lighting:Store #05,Broadway Collection Polished Brass 6 Light (60 watt max),Accounts Receivable,,144.00
2991,Revenue,Total Deborah Wood Equity - Other,Invoice,02/14/2018,71110,Baker's Professional Lighting:Store #05,Pearl Nickle 5 Light Medium Base (100 watt max),Accounts Receivable,,190.00
2992,Revenue,Total Deborah Wood Equity - Other,Invoice,02/14/2018,71110,Baker's Professional Lighting:Store #05,Polished Brass Pendant 1-100 watt Medium Base Clear Ribbed Glass,Accounts Receivable,,232.00
2993,Revenue,Total Deborah Wood Equity - Other,Invoice,02/14/2018,71110,Baker's Professional Lighting:Store #05,Pendant Bar Cobblestone 50lbs. max,Accounts Receivable,,50.00
2994,Revenue,Total Deborah Wood Equity - Other,Invoice,02/18/2018,71093,Miscellaneous - Retail:Ruth Kuver,Chestnut (3/60 watt)  Marble Glass,Accounts Receivable,,650.00
2995,Revenue,Total Deborah Wood Equity - Other,Invoice,02/18/2018,71093,Miscellaneous - Retail:Ruth Kuver,Verona Collection Pendant Cobblestone Etched Alabaster Glass 150 watt max,Accounts Receivable,,450.00
2996,Revenue,Total Deborah Wood Equity - Other,Invoice,02/18/2018,71093,Miscellaneous - Retail:Ruth Kuver,Pendant Bar Cobblestone 50lbs. max,Accounts Receivable,,50.00
2997,Revenue,Total Deborah Wood Equity - Other,Invoice,02/18/2018,71093,Miscellaneous - Retail:Ruth Kuver,Broadway Collection Polished Brass 6 Light (60 watt max),Accounts Receivable,,216.00
2998,Revenue,Total Deborah Wood Equity - Other,Invoice,02/20/2018,71054,Miscellaneous - Retail:Mrs. Chris Holly,Vianne Lanterns Satin Antiqued Solid Brass 3-light wall latern Candelabra base (60 watt max),Accounts Receivable,,500.00
2999,Revenue,Total Deborah Wood Equity - Other,Invoice,02/20/2018,71054,Miscellaneous - Retail:Mrs. Chris Holly,White 4.5x7.5 1-100 watt Medium Base Satin White Glass,Accounts Receivable,,96.00
3000,Revenue,Total Deborah Wood Equity - Other,Invoice,02/20/2018,71054,Miscellaneous - Retail:Mrs. Chris Holly,Frosted Taupe (3/60 watt)  Marble Glass  ,Accounts Receivable,,310.00
3001,Revenue,Total Deborah Wood Equity - Other,Invoice,02/20/2018,71054,Miscellaneous - Retail:Mrs. Chris Holly,Athena Collection Pendant Textured White Med. Base 100 watt max.,Accounts Receivable,,260.00
3002,Revenue,Total Deborah Wood Equity - Other,Invoice,02/20/2018,71054,Miscellaneous - Retail:Mrs. Chris Holly,Pendant Bar Cobblestone 50lbs. max,Accounts Receivable,,50.00
3003,Revenue,Total Deborah Wood Equity - Other,Invoice,02/20/2018,71054,Miscellaneous - Retail:Mrs. Chris Holly,Drop Opal w/Solid Oak Frame 49 1/2 x 17 120v HPF,Accounts Receivable,,84.00
3004,Revenue,Total Deborah Wood Equity - Other,Invoice,02/23/2018,71094,Miscellaneous - Retail:David Lo,Domes White 59x21x6 5/8 ht 120v HPF,Accounts Receivable,,450.00
3005,Revenue,Total Deborah Wood Equity - Other,Invoice,02/23/2018,71094,Miscellaneous - Retail:David Lo,Tiffany CollectionGolden Baroque 1-light lantern medium base (100 watt max),Accounts Receivable,,510.00
3006,Revenue,Total Deborah Wood Equity - Other,Invoice,02/23/2018,71094,Miscellaneous - Retail:David Lo,Chestnut (3/60 watt)  Marble Glass,Accounts Receivable,,650.00
3007,Revenue,Total Deborah Wood Equity - Other,Invoice,02/23/2018,71094,Miscellaneous - Retail:David Lo,Pearl Nickle 5 Light Medium Base (100 watt max),Accounts Receivable,,190.00
3008,Revenue,Total Deborah Wood Equity - Other,Invoice,02/23/2018,71094,Miscellaneous - Retail:David Lo,18x8x10 Solid Brass 3-60watt Medium Base Satin Etched Glass,Accounts Receivable,,132.00
3009,Revenue,Total Deborah Wood Equity - Other,Invoice,02/27/2018,71052,Baker's Professional Lighting:Store #15,Acid Verde 10x21x10 2-60 watt cand.,Accounts Receivable,,272.00
3010,Revenue,Total Deborah Wood Equity - Other,Invoice,02/27/2018,71052,Baker's Professional Lighting:Store #15,Polished Brass Pendant 1-100 watt Medium Base Clear Ribbed Glass,Accounts Receivable,,210.00
3011,Revenue,Total Deborah Wood Equity - Other,Invoice,02/27/2018,71052,Baker's Professional Lighting:Store #15,River Rock (8/60 watt)  Faux Alabaster Glass,Accounts Receivable,,600.00
3012,Revenue,Total Deborah Wood Equity - Other,Invoice,02/27/2018,71052,Baker's Professional Lighting:Store #15,Brushed Nickel 18x7.75x6 3-60 watt Medium Base Satin Opal Glass,Accounts Receivable,,120.00
3013,Revenue,Total Deborah Wood Equity - Other,Invoice,02/27/2018,71052,Baker's Professional Lighting:Store #15,Halogen Lamp 20 watts Luminous Intensity,Accounts Receivable,,12.00
3014,Revenue,Total Deborah Wood Equity - Other,Invoice,02/27/2018,71052,Baker's Professional Lighting:Store #15,Specialty Stage & Studio Bulbs  60 watt,Accounts Receivable,,26.00
3015,Revenue,Total Deborah Wood Equity - Other,Invoice,02/27/2018,71052,Baker's Professional Lighting:Store #15,2032 Series (3-60 watt Med) Desert Stone Finish,Accounts Receivable,,210.00
3016,Revenue,Total Deborah Wood Equity - Other,Invoice,02/27/2018,71052,Baker's Professional Lighting:Store #15,Tapestry (8/60 watt)  Faux Alabaster Glass,Accounts Receivable,,300.00
3017,Revenue,Total Deborah Wood Equity - Other,Invoice,02/27/2018,71052,Baker's Professional Lighting:Store #15,Drop Opal w/Solid Oak Frame 49 1/2 x 17 120v HPF,Accounts Receivable,,126.00
3018,Revenue,Total Deborah Wood Equity - Other,Invoice,02/27/2018,71052,Baker's Professional Lighting:Store #15,Fluorescent Lamp T-5 Bipin,Accounts Receivable,,9.00
3019,Revenue,Total Deborah Wood Equity - Other,Invoice,02/28/2018,71122,Lavery Lighting & Design:Store #JL-08,Custom Chandelier,Accounts Receivable,,600.00
3020,Revenue,Total Deborah Wood Equity - Other,Invoice,03/11/2018,71048,Baker's Professional Lighting:Store #20,Die Cast Lanterns Black 1-100 watt Medium Base Clear Cracked Glass,Accounts Receivable,,430.00
3021,Revenue,Total Deborah Wood Equity - Other,Invoice,03/11/2018,71048,Baker's Professional Lighting:Store #20,Polished Brass Pendant 1-100 watt Medium Base Clear Ribbed Glass,Accounts Receivable,,490.00
3022,Revenue,Total Deborah Wood Equity - Other,Invoice,03/11/2018,71048,Baker's Professional Lighting:Store #20,Golden Umber (100 watt)  Six Light Chandelier,Accounts Receivable,,630.00
3023,Revenue,Total Deborah Wood Equity - Other,Invoice,03/11/2018,71048,Baker's Professional Lighting:Store #20,Pendant Bar Cobblestone 50lbs. max,Accounts Receivable,,25.00
